,0
feature 0,0.0
feature 1,0.0
feature 2,0.0
feature 3,0.0
feature 4,0.0
feature 5,0.0
feature 6,0.0
feature 7,0.0
feature 8,0.0
feature 9,0.0
feature 10,0.0
feature 11,0.0
feature 12,0.0
feature 13,0.0
feature 14,0.0
feature 15,0.0
feature 16,0.0
feature 17,0.00042105263157894425
feature 18,0.0
feature 19,0.0
feature 20,0.0
feature 21,0.0
feature 22,0.0
feature 23,0.0
feature 24,0.0
feature 25,0.0
feature 26,0.0
feature 27,0.0
feature 28,0.0
feature 29,0.0
feature 30,0.0
feature 31,0.0
feature 32,0.0
feature 33,0.0
feature 34,0.0
feature 35,0.0
feature 36,0.0
feature 37,0.0
feature 38,0.0
feature 39,0.0
feature 40,0.0
feature 41,0.0
feature 42,0.0
feature 43,0.0
feature 44,0.0
feature 45,0.0
feature 46,0.0
feature 47,0.0
feature 48,0.0
feature 49,0.0
feature 50,0.0
feature 51,0.0
feature 52,0.0
feature 53,0.0
feature 54,0.0
feature 55,0.0
feature 56,0.0
feature 57,0.0
feature 58,0.0
feature 59,0.0
feature 60,0.0
feature 61,0.0
feature 62,0.0
feature 63,0.0
feature 64,0.0
feature 65,0.0
feature 66,0.0
feature 67,0.0
feature 68,0.0
feature 69,0.0
feature 70,0.0
feature 71,0.0
feature 72,0.0
feature 73,0.0
feature 74,0.0
feature 75,0.0
feature 76,0.0
feature 77,0.0
feature 78,0.0
feature 79,0.0
feature 80,0.0
feature 81,0.0
feature 82,0.0
feature 83,0.0
feature 84,0.0
feature 85,0.0
feature 86,0.0
feature 87,0.0
feature 88,0.0
feature 89,0.0
feature 90,0.0
feature 91,0.0
feature 92,0.0
feature 93,0.0
feature 94,0.0
feature 95,0.0
feature 96,-0.002105263157894721
feature 97,0.0
feature 98,0.0
feature 99,0.0
feature 100,0.0
feature 101,0.0
feature 102,0.0
feature 103,0.0
feature 104,0.0
feature 105,0.0
feature 106,0.0
feature 107,0.0
feature 108,0.0
feature 109,0.0
feature 110,0.0
feature 111,0.0
feature 112,0.0
feature 113,0.0
feature 114,0.0
feature 115,0.0
feature 116,0.0
feature 117,0.0
feature 118,-0.00042105263157894425
feature 119,0.0
feature 120,0.0
feature 121,0.0
feature 122,0.0
feature 123,0.0
feature 124,0.0
feature 125,-0.002105263157894721
feature 126,0.0
feature 127,0.0
feature 128,0.0
feature 129,0.0
feature 130,0.0
feature 131,0.0
feature 132,0.0
feature 133,0.0
feature 134,0.0
feature 135,0.0
feature 136,0.0
feature 137,0.0
feature 138,0.001684210526315777
feature 139,0.0
feature 140,0.0
feature 141,0.0
feature 142,0.0
feature 143,0.0
feature 144,0.0
feature 145,0.0
feature 146,0.0
feature 147,0.0
feature 148,0.0
feature 149,0.0
feature 150,0.0
feature 151,0.0
feature 152,0.0
feature 153,0.0
feature 154,0.0
feature 155,0.0
feature 156,0.005052631578947375
feature 157,0.0
feature 158,0.0
feature 159,0.0
feature 160,0.0
feature 161,0.012210526315789495
feature 162,0.0
feature 163,0.0
feature 164,0.0
feature 165,0.0
feature 166,0.0
feature 167,0.0
feature 168,0.0
feature 169,0.0
feature 170,0.0
feature 171,0.0
feature 172,0.0
feature 173,0.0
feature 174,0.0
feature 175,0.0
feature 176,0.0
feature 177,0.0
feature 178,0.0
feature 179,0.0
feature 180,0.0
feature 181,0.0
feature 182,0.0
feature 183,0.0
feature 184,0.005052631578947375
feature 185,0.0
feature 186,0.0
feature 187,0.0
feature 188,0.0
feature 189,0.0
feature 190,0.0
feature 191,0.0
feature 192,0.0
feature 193,0.0
feature 194,0.0
feature 195,0.0
feature 196,0.0
feature 197,0.0
feature 198,0.0
feature 199,0.0
feature 200,0.0
feature 201,-0.00042105263157894425
feature 202,0.0
feature 203,0.0
feature 204,0.0
feature 205,0.0
feature 206,0.0
feature 207,0.001684210526315777
feature 208,0.0
feature 209,0.0
feature 210,0.0
feature 211,0.0
feature 212,0.0
feature 213,0.0
feature 214,0.0
feature 215,0.0
feature 216,0.0
feature 217,0.0
feature 218,0.0
feature 219,0.0
feature 220,0.0
feature 221,0.0
feature 222,0.0
feature 223,0.0
feature 224,0.0
feature 225,0.0
feature 226,0.0
feature 227,0.0
feature 228,0.0016842105263158214
feature 229,0.0
feature 230,0.0
feature 231,0.0
feature 232,0.0
feature 233,0.0
feature 234,0.0
feature 235,0.0
feature 236,0.0
feature 237,0.0
feature 238,0.0
feature 239,0.0
feature 240,0.0
feature 241,0.0
feature 242,0.0
feature 243,0.0
feature 244,0.0
feature 245,0.0
feature 246,0.0
feature 247,0.0
feature 248,0.0
feature 249,0.0
feature 250,0.0
feature 251,0.0
feature 252,0.0
feature 253,0.0
feature 254,0.0
feature 255,0.0
feature 256,0.0
feature 257,0.0
feature 258,0.0
feature 259,0.0
feature 260,0.0
feature 261,0.0
feature 262,0.0
feature 263,0.0
feature 264,0.0
feature 265,0.0
feature 266,0.0
feature 267,0.0
feature 268,0.0
feature 269,0.0
feature 270,0.0
feature 271,0.0
feature 272,0.0
feature 273,0.0
feature 274,0.0
feature 275,0.0
feature 276,0.0
feature 277,0.0
feature 278,0.0
feature 279,0.0
feature 280,0.0
feature 281,0.0
feature 282,0.0
feature 283,-0.0008421052631578885
feature 284,0.0
feature 285,0.0
feature 286,0.0
feature 287,0.0
feature 288,0.0
feature 289,0.0
feature 290,0.0
feature 291,0.0
feature 292,0.0
feature 293,0.0
feature 294,0.0
feature 295,0.0
feature 296,0.0
feature 297,0.0
feature 298,0.0
feature 299,0.0
feature 300,0.0
feature 301,0.0
feature 302,0.0
feature 303,0.0
feature 304,0.0
feature 305,0.0
feature 306,0.0
feature 307,0.0
feature 308,0.0
feature 309,0.0
feature 310,0.0
feature 311,0.0
feature 312,0.0
feature 313,0.0
feature 314,0.0
feature 315,0.0
feature 316,0.0
feature 317,0.0
feature 318,0.0
feature 319,0.0
feature 320,0.0
feature 321,0.0
feature 322,0.006315789473684252
feature 323,0.0
feature 324,0.0
feature 325,0.0
feature 326,0.0
feature 327,0.0
feature 328,0.0
feature 329,0.0
feature 330,0.0
feature 331,0.0
feature 332,0.0
feature 333,0.0
feature 334,0.0
feature 335,0.0
feature 336,0.0
feature 337,0.0
feature 338,0.0
feature 339,0.0
feature 340,0.0
feature 341,0.0
feature 342,0.0
feature 343,0.0
feature 344,0.0
feature 345,0.0
feature 346,0.0008421052631578885
feature 347,0.0
feature 348,0.0
feature 349,0.0
feature 350,0.0
feature 351,0.0
feature 352,0.0
feature 353,0.0
feature 354,0.0
feature 355,0.0
feature 356,0.0
