,Importance Value,Regions,Network Connection,Network Connection2
0,0.0,R_V1 | R_MST,Visual1 | Visual2,
1,0.0,R_V1 | R_V6,Visual1 | Visual2,
2,0.0,R_V1 | R_V2,Visual1 | Visual2,
3,0.0,R_V1 | R_V3,Visual1 | Visual2,
4,0.0,R_V1 | R_V4,Visual1 | Visual2,
5,0.0,R_V1 | R_V8,Visual1 | Visual2,
6,0.0,R_V1 | R_4,Visual1 | Somatomotor,
7,0.0,R_V1 | R_3b,Visual1 | Somatomotor,
8,0.0,R_V1 | R_FEF,Visual1 | Cingulo-Oper,
9,0.0,R_V1 | R_PEF,Visual1 | Language,
10,0.0,R_V1 | R_55b,Visual1 | Default,
11,0.0,R_V1 | R_V3A,Visual1 | Visual2,
12,0.0,R_V1 | R_RSC,Visual1 | Frontopariet,
13,0.0,R_V1 | R_POS2,Visual1 | Frontopariet,
14,0.0,R_V1 | R_V7,Visual1 | Visual2,
15,0.0,R_V1 | R_IPS1,Visual1 | Visual2,
16,0.0,R_V1 | R_FFC,Visual1 | Visual2,
17,0.00042105263157894425,R_V1 | R_V3B,Visual1 | Visual2,
18,0.0,R_V1 | R_LO1,Visual1 | Visual2,
19,0.0,R_V1 | R_LO2,Visual1 | Visual2,
20,0.0,R_V1 | R_PIT,Visual1 | Visual2,
21,0.0,R_V1 | R_MT,Visual1 | Visual2,
22,0.0,R_V1 | R_A1,Visual1 | Auditory,
23,0.0,R_V1 | R_PSL,Visual1 | Default,
24,0.0,R_V1 | R_SFL,Visual1 | Default,
25,0.0,R_V1 | R_PCV,Visual1 | Dorsal-atten,
26,0.0,R_V1 | R_STV,Visual1 | Default,
27,0.0,R_V1 | R_7Pm,Visual1 | Frontopariet,
28,0.0,R_V1 | R_7m,Visual1 | Posterior-Mu,
29,0.0,R_V1 | R_POS1,Visual1 | Posterior-Mu,
30,0.0,R_V1 | R_23d,Visual1 | Posterior-Mu,
31,0.0,R_V1 | R_v23ab,Visual1 | Posterior-Mu,
32,0.0,R_V1 | R_d23ab,Visual1 | Posterior-Mu,
33,0.0,R_V1 | R_31pv,Visual1 | Posterior-Mu,
34,0.0,R_V1 | R_5m,Visual1 | Somatomotor,
35,0.0,R_V1 | R_5mv,Visual1 | Cingulo-Oper,
36,0.0,R_V1 | R_23c,Visual1 | Cingulo-Oper,
37,0.0,R_V1 | R_5L,Visual1 | Somatomotor,
38,0.0,R_V1 | R_24dd,Visual1 | Somatomotor,
39,0.0,R_V1 | R_24dv,Visual1 | Somatomotor,
40,0.0,R_V1 | R_7AL,Visual1 | Somatomotor,
41,0.0,R_V1 | R_SCEF,Visual1 | Cingulo-Oper,
42,0.0,R_V1 | R_6ma,Visual1 | Cingulo-Oper,
43,0.0,R_V1 | R_7Am,Visual1 | Cingulo-Oper,
44,0.0,R_V1 | R_7PL,Visual1 | Language,
45,0.0,R_V1 | R_7PC,Visual1 | Somatomotor,
46,0.0,R_V1 | R_LIPv,Visual1 | Visual2,
47,0.0,R_V1 | R_VIP,Visual1 | Visual2,
48,0.0,R_V1 | R_MIP,Visual1 | Language,
49,0.0,R_V1 | R_1,Visual1 | Somatomotor,
50,0.0,R_V1 | R_2,Visual1 | Somatomotor,
51,0.0,R_V1 | R_3a,Visual1 | Somatomotor,
52,0.0,R_V1 | R_6d,Visual1 | Somatomotor,
53,0.0,R_V1 | R_6mp,Visual1 | Somatomotor,
54,0.0,R_V1 | R_6v,Visual1 | Somatomotor,
55,0.0,R_V1 | R_p24pr,Visual1 | Cingulo-Oper,
56,0.0,R_V1 | R_33pr,Visual1 | Cingulo-Oper,
57,0.0,R_V1 | R_a24pr,Visual1 | Cingulo-Oper,
58,0.0,R_V1 | R_p32pr,Visual1 | Cingulo-Oper,
59,0.0,R_V1 | R_a24,Visual1 | Posterior-Mu,
60,0.0,R_V1 | R_d32,Visual1 | Posterior-Mu,
61,0.0,R_V1 | R_8BM,Visual1 | Frontopariet,
62,0.0,R_V1 | R_p32,Visual1 | Posterior-Mu,
63,0.0,R_V1 | R_10r,Visual1 | Posterior-Mu,
64,0.0,R_V1 | R_47m,Visual1 | Posterior-Mu,
65,0.0,R_V1 | R_8Av,Visual1 | Posterior-Mu,
66,0.0,R_V1 | R_8Ad,Visual1 | Posterior-Mu,
67,0.0,R_V1 | R_9m,Visual1 | Posterior-Mu,
68,0.0,R_V1 | R_8BL,Visual1 | Posterior-Mu,
69,0.0,R_V1 | R_9p,Visual1 | Posterior-Mu,
70,0.0,R_V1 | R_10d,Visual1 | Posterior-Mu,
71,0.0,R_V1 | R_8C,Visual1 | Frontopariet,
72,0.0,R_V1 | R_44,Visual1 | Default,
73,0.0,R_V1 | R_45,Visual1 | Default,
74,0.0,R_V1 | R_47l,Visual1 | Posterior-Mu,
75,0.0,R_V1 | R_a47r,Visual1 | Frontopariet,
76,0.0,R_V1 | R_6r,Visual1 | Cingulo-Oper,
77,0.0,R_V1 | R_IFJa,Visual1 | Default,
78,0.0,R_V1 | R_IFJp,Visual1 | Frontopariet,
79,0.0,R_V1 | R_IFSp,Visual1 | Default,
80,0.0,R_V1 | R_IFSa,Visual1 | Frontopariet,
81,0.0,R_V1 | R_p9-46v,Visual1 | Frontopariet,
82,0.0,R_V1 | R_46,Visual1 | Cingulo-Oper,
83,0.0,R_V1 | R_a9-46v,Visual1 | Frontopariet,
84,0.0,R_V1 | R_9-46d,Visual1 | Cingulo-Oper,
85,0.0,R_V1 | R_9a,Visual1 | Posterior-Mu,
86,0.0,R_V1 | R_10v,Visual1 | Posterior-Mu,
87,0.0,R_V1 | R_a10p,Visual1 | Frontopariet,
88,0.0,R_V1 | R_10pp,Visual1 | Posterior-Mu,
89,0.0,R_V1 | R_11l,Visual1 | Frontopariet,
90,0.0,R_V1 | R_13l,Visual1 | Frontopariet,
91,0.0,R_V1 | R_OFC,Visual1 | Posterior-Mu,
92,0.0,R_V1 | R_47s,Visual1 | Posterior-Mu,
93,0.0,R_V1 | R_LIPd,Visual1 | Language,
94,0.0,R_V1 | R_6a,Visual1 | Language,
95,0.0,R_V1 | R_i6-8,Visual1 | Frontopariet,
96,-0.002105263157894721,R_V1 | R_s6-8,Visual1 | Frontopariet,
97,0.0,R_V1 | R_43,Visual1 | Cingulo-Oper,
98,0.0,R_V1 | R_OP4,Visual1 | Somatomotor,
99,0.0,R_V1 | R_OP1,Visual1 | Somatomotor,
100,0.0,R_V1 | R_OP2-3,Visual1 | Somatomotor,
101,0.0,R_V1 | R_52,Visual1 | Auditory,
102,0.0,R_V1 | R_RI,Visual1 | Auditory,
103,0.0,R_V1 | R_PFcm,Visual1 | Cingulo-Oper,
104,0.0,R_V1 | R_PoI2,Visual1 | Cingulo-Oper,
105,0.0,R_V1 | R_TA2,Visual1 | Auditory,
106,0.0,R_V1 | R_FOP4,Visual1 | Cingulo-Oper,
107,0.0,R_V1 | R_MI,Visual1 | Cingulo-Oper,
108,0.0,R_V1 | R_Pir,Visual1 | Orbito-Affec,
109,0.0,R_V1 | R_AVI,Visual1 | Frontopariet,
110,0.0,R_V1 | R_AAIC,Visual1 | Orbito-Affec,
111,0.0,R_V1 | R_FOP1,Visual1 | Cingulo-Oper,
112,0.0,R_V1 | R_FOP3,Visual1 | Cingulo-Oper,
113,0.0,R_V1 | R_FOP2,Visual1 | Somatomotor,
114,0.0,R_V1 | R_PFt,Visual1 | Language,
115,0.0,R_V1 | R_AIP,Visual1 | Language,
116,0.0,R_V1 | R_EC,Visual1 | Posterior-Mu,
117,0.0,R_V1 | R_PreS,Visual1 | Posterior-Mu,
118,-0.00042105263157894425,R_V1 | R_H,Visual1 | Posterior-Mu,
119,0.0,R_V1 | R_ProS,Visual1 | Visual1,
120,0.0,R_V1 | R_PeEc,Visual1 | Ventral-Mult,
121,0.0,R_V1 | R_STGa,Visual1 | Default,
122,0.0,R_V1 | R_PBelt,Visual1 | Auditory,
123,0.0,R_V1 | R_A5,Visual1 | Default,
124,0.0,R_V1 | R_PHA1,Visual1 | Posterior-Mu,
125,-0.002105263157894721,R_V1 | R_PHA3,Visual1 | Language,
126,0.0,R_V1 | R_STSda,Visual1 | Default,
127,0.0,R_V1 | R_STSdp,Visual1 | Default,
128,0.0,R_V1 | R_STSvp,Visual1 | Posterior-Mu,
129,0.0,R_V1 | R_TGd,Visual1 | Posterior-Mu,
130,0.0,R_V1 | R_TE1a,Visual1 | Posterior-Mu,
131,0.0,R_V1 | R_TE1p,Visual1 | Frontopariet,
132,0.0,R_V1 | R_TE2a,Visual1 | Posterior-Mu,
133,0.0,R_V1 | R_TF,Visual1 | Ventral-Mult,
134,0.0,R_V1 | R_TE2p,Visual1 | Language,
135,0.0,R_V1 | R_PHT,Visual1 | Language,
136,0.0,R_V1 | R_PH,Visual1 | Visual2,
137,0.0,R_V1 | R_TPOJ1,Visual1 | Default,
138,0.001684210526315777,R_V1 | R_TPOJ2,Visual1 | Dorsal-atten,
139,0.0,R_V1 | R_TPOJ3,Visual1 | Dorsal-atten,
140,0.0,R_V1 | R_DVT,Visual1 | Visual1,
141,0.0,R_V1 | R_PGp,Visual1 | Language,
142,0.0,R_V1 | R_IP2,Visual1 | Frontopariet,
143,0.0,R_V1 | R_IP1,Visual1 | Frontopariet,
144,0.0,R_V1 | R_IP0,Visual1 | Language,
145,0.0,R_V1 | R_PFop,Visual1 | Cingulo-Oper,
146,0.0,R_V1 | R_PF,Visual1 | Cingulo-Oper,
147,0.0,R_V1 | R_PFm,Visual1 | Frontopariet,
148,0.0,R_V1 | R_PGi,Visual1 | Posterior-Mu,
149,0.0,R_V1 | R_PGs,Visual1 | Posterior-Mu,
150,0.0,R_V1 | R_V6A,Visual1 | Visual2,
151,0.0,R_V1 | R_VMV1,Visual1 | Visual2,
152,0.0,R_V1 | R_VMV3,Visual1 | Visual2,
153,0.0,R_V1 | R_PHA2,Visual1 | Posterior-Mu,
