method,dataset
All,ucla
All,hcp
kPCA_rbf-25,ucla
kPCA_rbf-25,hcp
kPCA_linear-25,ucla
kPCA_linear-25,hcp
TruncatedSVD_100,ucla
TruncatedSVD_100,hcp
TruncatedSVD_150,ucla
TruncatedSVD_150,hcp
TruncatedSVD_200,ucla
TruncatedSVD_200,hcp
TruncatedSVD_300,ucla
TruncatedSVD_300,hcp
TruncatedSVD_400,ucla
TruncatedSVD_400,hcp
TruncatedSVD_500,ucla
TruncatedSVD_500,hcp
TruncatedSVD_600,ucla
TruncatedSVD_600,hcp
TruncatedSVD_700,ucla
TruncatedSVD_700,hcp
TruncatedSVD_800,ucla
TruncatedSVD_800,hcp
TruncatedSVD_900,ucla
TruncatedSVD_900,hcp
TruncatedSVD_1000,ucla
TruncatedSVD_1000,hcp
LDA,ucla
LDA,hcp
PCA Full,ucla
PCA Full,hcp
PCA_513,ucla
PCA_513,hcp
PCA_2,ucla
PCA_2,hcp
PCA_3,ucla
PCA_3,hcp
PCA_4,ucla
PCA_4,hcp
PCA_5,ucla
PCA_5,hcp
PCA_6,ucla
PCA_6,hcp
PCA_7,ucla
PCA_7,hcp
PCA_8,ucla
PCA_8,hcp
PCA_9,ucla
PCA_9,hcp
PCA_10,ucla
PCA_10,hcp
PCA_1,ucla
PCA_1,hcp
PCA_12,ucla
PCA_12,hcp
PCA_13,ucla
PCA_13,hcp
PCA_14,ucla
PCA_14,hcp
PCA_15,ucla
PCA_15,hcp
PCA_16,ucla
PCA_16,hcp
PCA_17,ucla
PCA_17,hcp
PCA_18,ucla
PCA_18,hcp
PCA_19,ucla
PCA_19,hcp
PCA_20,ucla
PCA_20,hcp
PCA_21,ucla
PCA_21,hcp
PCA_22,ucla
PCA_22,hcp
PCA_23,ucla
PCA_23,hcp
PCA_24,ucla
PCA_24,hcp
PCA_26,ucla
PCA_26,hcp
PCA_27,ucla
PCA_27,hcp
PCA_29,ucla
PCA_29,hcp
PCA_30,ucla
PCA_30,hcp
PCA_31,ucla
PCA_31,hcp
PCA_32,ucla
PCA_32,hcp
PCA_34,ucla
PCA_34,hcp
PCA_35,ucla
PCA_35,hcp
PCA_36,ucla
PCA_36,hcp
PCA_38,ucla
PCA_38,hcp
PCA_39,ucla
PCA_39,hcp
PCA_1064,ucla
PCA_1064,hcp
PCA_41,ucla
PCA_41,hcp
PCA_42,ucla
PCA_42,hcp
PCA_44,ucla
PCA_44,hcp
PCA_45,ucla
PCA_45,hcp
PCA_46,ucla
PCA_46,hcp
PCA_47,ucla
PCA_47,hcp
PCA_560,ucla
PCA_560,hcp
PCA_49,ucla
PCA_49,hcp
PCA_50,ucla
PCA_50,hcp
PCA_54,ucla
PCA_54,hcp
PCA_55,ucla
PCA_55,hcp
PCA_53,ucla
PCA_53,hcp
PCA_57,ucla
PCA_57,hcp
PCA_60,ucla
PCA_60,hcp
PCA_61,ucla
PCA_61,hcp
PCA_63,ucla
PCA_63,hcp
PCA_65,ucla
PCA_65,hcp
PCA_66,ucla
PCA_66,hcp
PCA_70,ucla
PCA_70,hcp
PCA_71,ucla
PCA_71,hcp
PCA_74,ucla
PCA_74,hcp
PCA_75,ucla
PCA_75,hcp
PCA_76,ucla
PCA_76,hcp
PCA_78,ucla
PCA_78,hcp
PCA_79,ucla
PCA_79,hcp
PCA_85,ucla
PCA_85,hcp
PCA_90,ucla
PCA_90,hcp
PCA_93,ucla
PCA_93,hcp
PCA_96,ucla
PCA_96,hcp
PCA_101,ucla
PCA_101,hcp
PCA_616,ucla
PCA_616,hcp
PCA_105,ucla
PCA_105,hcp
PCA_109,ucla
PCA_109,hcp
PCA_116,ucla
PCA_116,hcp
PCA_121,ucla
PCA_121,hcp
PCA_124,ucla
PCA_124,hcp
PCA_126,ucla
PCA_126,hcp
PCA_132,ucla
PCA_132,hcp
PCA_136,ucla
PCA_136,hcp
PCA_142,ucla
PCA_142,hcp
PCA_146,ucla
PCA_146,hcp
PCA_152,ucla
PCA_152,hcp
PCA_667,ucla
PCA_667,hcp
PCA_157,ucla
PCA_157,hcp
PCA_1184,ucla
PCA_1184,hcp
PCA_162,ucla
PCA_162,hcp
PCA_167,ucla
PCA_167,hcp
PCA_172,ucla
PCA_172,hcp
PCA_181,ucla
PCA_181,hcp
PCA_191,ucla
PCA_191,hcp
PCA_709,ucla
PCA_709,hcp
PCA_201,ucla
PCA_201,hcp
PCA_214,ucla
PCA_214,hcp
PCA_229,ucla
PCA_229,hcp
PCA_242,ucla
PCA_242,hcp
PCA_251,ucla
PCA_251,hcp
PCA_780,ucla
PCA_780,hcp
PCA_271,ucla
PCA_271,hcp
PCA_282,ucla
PCA_282,hcp
PCA_294,ucla
PCA_294,hcp
PCA_1331,ucla
PCA_1331,hcp
PCA_316,ucla
PCA_316,hcp
PCA_342,ucla
PCA_342,hcp
PCA_857,ucla
PCA_857,hcp
PCA_361,ucla
PCA_361,hcp
PCA_390,ucla
PCA_390,hcp
PCA_418,ucla
PCA_418,hcp
PCA_947,ucla
PCA_947,hcp
PCA_450,ucla
PCA_450,hcp
PCA_479,ucla
PCA_479,hcp
PCA_1522,ucla
PCA_1522,hcp
Permutation-Importance_19900,ucla
Permutation-Importance_19900,hcp
Permutation-Importance_19877,ucla
Permutation-Importance_19877,hcp
Permutation-Importance_18386,ucla
Permutation-Importance_18386,hcp
Permutation-Importance_13745,ucla
Permutation-Importance_13745,hcp
Permutation-Importance_9857,ucla
Permutation-Importance_9857,hcp
Permutation-Importance_7402,ucla
Permutation-Importance_7402,hcp
Permutation-Importance_5773,ucla
Permutation-Importance_5773,hcp
Permutation-Importance_4586,ucla
Permutation-Importance_4586,hcp
Permutation-Importance_3754,ucla
Permutation-Importance_3754,hcp
Permutation-Importance_3125,ucla
Permutation-Importance_3125,hcp
Permutation-Importance_2656,ucla
Permutation-Importance_2656,hcp
Permutation-Importance_2271,ucla
Permutation-Importance_2271,hcp
Permutation-Importance_1958,ucla
Permutation-Importance_1958,hcp
Permutation-Importance_1727,ucla
Permutation-Importance_1727,hcp
Permutation-Importance_1522,ucla
Permutation-Importance_1522,hcp
Permutation-Importance_1331,ucla
Permutation-Importance_1331,hcp
Permutation-Importance_1184,ucla
Permutation-Importance_1184,hcp
Permutation-Importance_1064,ucla
Permutation-Importance_1064,hcp
Permutation-Importance_947,ucla
Permutation-Importance_947,hcp
Permutation-Importance_857,ucla
Permutation-Importance_857,hcp
Permutation-Importance_780,ucla
Permutation-Importance_780,hcp
Permutation-Importance_709,ucla
Permutation-Importance_709,hcp
Permutation-Importance_667,ucla
