Subject,Release,Acquisition,Gender,Age,Age__22-25,Age__26-30,Age__31-35,Age__36+,Gender__F,Gender__M,Acquisition__Q01,Acquisition__Q02,Acquisition__Q03,Acquisition__Q04,Acquisition__Q05,Acquisition__Q06,Acquisition__Q07,Acquisition__Q08,Acquisition__Q09,Acquisition__Q10,Acquisition__Q11,Acquisition__Q12,Acquisition__Q13,Release__MEG2,Release__Q1,Release__Q2,Release__Q3,Release__S1200,Release__S500,Release__S900
100004,S900,Q06,M,22-25,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100206,S900,Q11,M,26-30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100307,Q1,Q01,F,26-30,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100408,Q3,Q03,M,31-35,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100610,S900,Q08,M,26-30,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
101006,S500,Q06,F,31-35,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101107,S500,Q06,M,22-25,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101208,S1200,Q12,F,31-35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
101309,S500,Q06,M,26-30,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101410,S500,Q06,M,26-30,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101612,S900,Q11,F,26-30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
