Original Name,Universal Name
Visual1 | Visual1,Visual1 | Visual1
Visual2 | Visual1,Visual2 | Visual1
Somatomotor | Visual1,Somatomotor | Visual1
Cingulo-Oper | Visual1,Cingulo-Oper | Visual1
Language | Visual1,Language | Visual1
Default | Visual1,Default | Visual1
Frontopariet | Visual1,Frontopariet | Visual1
Auditory | Visual1,Auditory | Visual1
Dorsal-atten | Visual1,Dorsal-atten | Visual1
Posterior-Mu | Visual1,Posterior-Mu | Visual1
Orbito-Affec | Visual1,Orbito-Affec | Visual1
Ventral-Mult | Visual1,Ventral-Mult | Visual1
Visual1 | Visual2,Visual2 | Visual1
Visual2 | Visual2,Visual2 | Visual2
Somatomotor | Visual2,Somatomotor | Visual2
Cingulo-Oper | Visual2,Cingulo-Oper | Visual2
Language | Visual2,Language | Visual2
Default | Visual2,Default | Visual2
Frontopariet | Visual2,Frontopariet | Visual2
Auditory | Visual2,Auditory | Visual2
Dorsal-atten | Visual2,Dorsal-atten | Visual2
Posterior-Mu | Visual2,Posterior-Mu | Visual2
Orbito-Affec | Visual2,Orbito-Affec | Visual2
Ventral-Mult | Visual2,Ventral-Mult | Visual2
Visual1 | Somatomotor,Somatomotor | Visual1
Visual2 | Somatomotor,Somatomotor | Visual2
Somatomotor | Somatomotor,Somatomotor | Somatomotor
Cingulo-Oper | Somatomotor,Cingulo-Oper | Somatomotor
Language | Somatomotor,Language | Somatomotor
Default | Somatomotor,Default | Somatomotor
Frontopariet | Somatomotor,Frontopariet | Somatomotor
Auditory | Somatomotor,Auditory | Somatomotor
Dorsal-atten | Somatomotor,Dorsal-atten | Somatomotor
Posterior-Mu | Somatomotor,Posterior-Mu | Somatomotor
Orbito-Affec | Somatomotor,Orbito-Affec | Somatomotor
Ventral-Mult | Somatomotor,Ventral-Mult | Somatomotor
Visual1 | Cingulo-Oper,Cingulo-Oper | Visual1
Visual2 | Cingulo-Oper,Cingulo-Oper | Visual2
Somatomotor | Cingulo-Oper,Cingulo-Oper | Somatomotor
Cingulo-Oper | Cingulo-Oper,Cingulo-Oper | Cingulo-Oper
Language | Cingulo-Oper,Language | Cingulo-Oper
Default | Cingulo-Oper,Default | Cingulo-Oper
Frontopariet | Cingulo-Oper,Frontopariet | Cingulo-Oper
Auditory | Cingulo-Oper,Auditory | Cingulo-Oper
Dorsal-atten | Cingulo-Oper,Dorsal-atten | Cingulo-Oper
Posterior-Mu | Cingulo-Oper,Posterior-Mu | Cingulo-Oper
Orbito-Affec | Cingulo-Oper,Orbito-Affec | Cingulo-Oper
Ventral-Mult | Cingulo-Oper,Ventral-Mult | Cingulo-Oper
Visual1 | Language,Language | Visual1
Visual2 | Language,Language | Visual2
Somatomotor | Language,Language | Somatomotor
Cingulo-Oper | Language,Language | Cingulo-Oper
Language | Language,Language | Language
Default | Language,Default | Language
Frontopariet | Language,Frontopariet | Language
Auditory | Language,Auditory | Language
Dorsal-atten | Language,Dorsal-atten | Language
Posterior-Mu | Language,Posterior-Mu | Language
Orbito-Affec | Language,Orbito-Affec | Language
Ventral-Mult | Language,Ventral-Mult | Language
Visual1 | Default,Default | Visual1
Visual2 | Default,Default | Visual2
Somatomotor | Default,Default | Somatomotor
Cingulo-Oper | Default,Default | Cingulo-Oper
Language | Default,Default | Language
Default | Default,Default | Default
Frontopariet | Default,Frontopariet | Default
Auditory | Default,Auditory | Default
Dorsal-atten | Default,Dorsal-atten | Default
