Subject,Run,task,Movement_RelativeRMS_mean
100206,rfMRI_REST1_LR,0,0.0550286
100206,rfMRI_REST1_RL,0,0.0551126
100206,rfMRI_REST2_LR,0,0.0623912
100206,rfMRI_REST2_RL,0,0.0563632
100206,tfMRI_MOTOR_RL,4,0.0620397
100206,tfMRI_MOTOR_LR,4,0.0645788
100206,tfMRI_WM_RL,7,0.0567201
100206,tfMRI_WM_LR,7,0.0489962
100206,tfMRI_EMOTION_RL,1,0.0542876
100206,tfMRI_EMOTION_LR,1,0.0471452
100206,tfMRI_GAMBLING_RL,2,0.0484649
100206,tfMRI_GAMBLING_LR,2,0.0429804
100206,tfMRI_LANGUAGE_RL,3,0.052507
100206,tfMRI_LANGUAGE_LR,3,0.0522161
100206,tfMRI_RELATIONAL_RL,5,0.0603528
100206,tfMRI_RELATIONAL_LR,5,0.0584549
100206,tfMRI_SOCIAL_RL,6,0.056968
100206,tfMRI_SOCIAL_LR,6,0.0517004
100307,rfMRI_REST1_LR,0,0.0622542
100307,rfMRI_REST1_RL,0,0.0761625
100307,rfMRI_REST2_LR,0,0.0591006
100307,rfMRI_REST2_RL,0,0.0644781
100307,tfMRI_MOTOR_RL,4,0.0780987
100307,tfMRI_MOTOR_LR,4,0.0825961
100307,tfMRI_WM_RL,7,0.0632503
100307,tfMRI_WM_LR,7,0.0639515
100307,tfMRI_EMOTION_RL,1,0.06788
100307,tfMRI_EMOTION_LR,1,0.0551148
100307,tfMRI_GAMBLING_RL,2,0.0592229
100307,tfMRI_GAMBLING_LR,2,0.0609841
100307,tfMRI_LANGUAGE_RL,3,0.0610657
100307,tfMRI_LANGUAGE_LR,3,0.0631407
100307,tfMRI_RELATIONAL_RL,5,0.0655718
100307,tfMRI_RELATIONAL_LR,5,0.0637944
100307,tfMRI_SOCIAL_RL,6,0.0638664
100307,tfMRI_SOCIAL_LR,6,0.0595175
100408,rfMRI_REST1_LR,0,0.106124
100408,rfMRI_REST1_RL,0,0.0939149
100408,rfMRI_REST2_LR,0,0.102772
100408,rfMRI_REST2_RL,0,0.0899544
100408,tfMRI_MOTOR_RL,4,0.0951272
100408,tfMRI_MOTOR_LR,4,0.106913
100408,tfMRI_WM_RL,7,0.104079
100408,tfMRI_WM_LR,7,0.135455
100408,tfMRI_EMOTION_RL,1,0.112662
100408,tfMRI_EMOTION_LR,1,0.112409
100408,tfMRI_GAMBLING_RL,2,0.0978865
100408,tfMRI_GAMBLING_LR,2,0.109229
100408,tfMRI_LANGUAGE_RL,3,0.0964306
100408,tfMRI_LANGUAGE_LR,3,0.142514
100408,tfMRI_RELATIONAL_RL,5,0.101569
100408,tfMRI_RELATIONAL_LR,5,0.142547
100408,tfMRI_SOCIAL_RL,6,0.091231
100408,tfMRI_SOCIAL_LR,6,0.111908
100610,rfMRI_REST1_LR,0,0.0926461
100610,rfMRI_REST1_RL,0,0.101184
100610,rfMRI_REST2_LR,0,0.0993531
100610,rfMRI_REST2_RL,0,0.11425
100610,tfMRI_MOTOR_RL,4,0.102224
100610,tfMRI_MOTOR_LR,4,0.106567
100610,tfMRI_WM_RL,7,0.105902
100610,tfMRI_WM_LR,7,0.101814
100610,tfMRI_EMOTION_RL,1,0.110913
100610,tfMRI_EMOTION_LR,1,0.105609
100610,tfMRI_GAMBLING_RL,2,0.108041
100610,tfMRI_GAMBLING_LR,2,0.100363
100610,tfMRI_LANGUAGE_RL,3,0.137561
100610,tfMRI_LANGUAGE_LR,3,0.102209
100610,tfMRI_RELATIONAL_RL,5,0.11407
100610,tfMRI_RELATIONAL_LR,5,0.105696
100610,tfMRI_SOCIAL_RL,6,0.10877
100610,tfMRI_SOCIAL_LR,6,0.111626
101006,rfMRI_REST1_LR,0,0.0948787
101006,rfMRI_REST1_RL,0,0.0810702
101006,rfMRI_REST2_LR,0,0.0916466
101006,rfMRI_REST2_RL,0,0.0776298
101006,tfMRI_MOTOR_RL,4,0.109379
101006,tfMRI_MOTOR_LR,4,0.097517
101006,tfMRI_WM_RL,7,0.0745541
101006,tfMRI_WM_LR,7,0.0871862
101006,tfMRI_EMOTION_RL,1,0.0644063
101006,tfMRI_EMOTION_LR,1,0.0672447
101006,tfMRI_GAMBLING_RL,2,0.0725133
101006,tfMRI_GAMBLING_LR,2,0.0938932
101006,tfMRI_LANGUAGE_RL,3,0.0713595
101006,tfMRI_LANGUAGE_LR,3,0.0793737
101006,tfMRI_RELATIONAL_RL,5,0.0899947
101006,tfMRI_RELATIONAL_LR,5,0.0890623
101006,tfMRI_SOCIAL_RL,6,0.0692074
101006,tfMRI_SOCIAL_LR,6,0.0776972
101107,rfMRI_REST1_LR,0,0.16511
101107,rfMRI_REST1_RL,0,0.0698303
101107,rfMRI_REST2_LR,0,0.0899731
101107,rfMRI_REST2_RL,0,0.0785432
101107,tfMRI_MOTOR_RL,4,0.0717241
101107,tfMRI_MOTOR_LR,4,0.062256
101107,tfMRI_WM_RL,7,0.084724
101107,tfMRI_WM_LR,7,0.0489248
101107,tfMRI_EMOTION_RL,1,0.15906
101107,tfMRI_EMOTION_LR,1,0.0676645
101107,tfMRI_GAMBLING_RL,2,0.0624168
101107,tfMRI_GAMBLING_LR,2,0.0587466
101107,tfMRI_LANGUAGE_RL,3,0.109986
101107,tfMRI_LANGUAGE_LR,3,0.205559
101107,tfMRI_RELATIONAL_RL,5,0.131564
101107,tfMRI_RELATIONAL_LR,5,0.0852183
101107,tfMRI_SOCIAL_RL,6,0.101547
101107,tfMRI_SOCIAL_LR,6,0.0618632
101309,rfMRI_REST1_LR,0,0.0601155
101309,rfMRI_REST1_RL,0,0.0525836
101309,rfMRI_REST2_LR,0,0.0593796
101309,rfMRI_REST2_RL,0,0.0657772
101309,tfMRI_MOTOR_RL,4,0.0672676
101309,tfMRI_MOTOR_LR,4,0.0690931
101309,tfMRI_WM_RL,7,0.0476546
101309,tfMRI_WM_LR,7,0.0544831
101309,tfMRI_EMOTION_RL,1,0.0486539
101309,tfMRI_EMOTION_LR,1,0.0555002
101309,tfMRI_GAMBLING_RL,2,0.0506468
101309,tfMRI_GAMBLING_LR,2,0.0508264
101309,tfMRI_LANGUAGE_RL,3,0.0440364
101309,tfMRI_LANGUAGE_LR,3,0.0534181
101309,tfMRI_RELATIONAL_RL,5,0.0491646
101309,tfMRI_RELATIONAL_LR,5,0.054062
101309,tfMRI_SOCIAL_RL,6,0.0474823
101309,tfMRI_SOCIAL_LR,6,0.0515417
101410,rfMRI_REST1_LR,0,0.0911527
101410,rfMRI_REST1_RL,0,0.0946612
101410,rfMRI_REST2_LR,0,
101410,rfMRI_REST2_RL,0,
101410,tfMRI_MOTOR_RL,4,0.113835
101410,tfMRI_MOTOR_LR,4,0.109206
101410,tfMRI_WM_RL,7,0.102882
101410,tfMRI_WM_LR,7,0.095642
101410,tfMRI_EMOTION_RL,1,0.081003
101410,tfMRI_EMOTION_LR,1,0.097945
101410,tfMRI_GAMBLING_RL,2,0.101879
101410,tfMRI_GAMBLING_LR,2,0.105058
101410,tfMRI_LANGUAGE_RL,3,0.089962
101410,tfMRI_LANGUAGE_LR,3,0.088968
101410,tfMRI_RELATIONAL_RL,5,0.0890646
101410,tfMRI_RELATIONAL_LR,5,0.0929736
101410,tfMRI_SOCIAL_RL,6,0.0816549
101410,tfMRI_SOCIAL_LR,6,0.0903892
101915,rfMRI_REST1_LR,0,0.0909439
101915,rfMRI_REST1_RL,0,0.0952612
101915,rfMRI_REST2_LR,0,0.0680769
101915,rfMRI_REST2_RL,0,0.0841291
101915,tfMRI_MOTOR_RL,4,0.0775235
101915,tfMRI_MOTOR_LR,4,0.0836694
101915,tfMRI_WM_RL,7,0.0720916
101915,tfMRI_WM_LR,7,0.0659736
101915,tfMRI_EMOTION_RL,1,0.0905314
101915,tfMRI_EMOTION_LR,1,0.0771681
101915,tfMRI_GAMBLING_RL,2,0.0657724
101915,tfMRI_GAMBLING_LR,2,0.0697363
101915,tfMRI_LANGUAGE_RL,3,0.0752747
101915,tfMRI_LANGUAGE_LR,3,0.0683727
101915,tfMRI_RELATIONAL_RL,5,0.0677231
101915,tfMRI_RELATIONAL_LR,5,0.0648949
101915,tfMRI_SOCIAL_RL,6,0.0702333
101915,tfMRI_SOCIAL_LR,6,0.0911827
102008,rfMRI_REST1_LR,0,0.116915
102008,rfMRI_REST1_RL,0,0.0936535
102008,rfMRI_REST2_LR,0,0.157176
102008,rfMRI_REST2_RL,0,0.201719
102008,tfMRI_MOTOR_RL,4,0.0934797
102008,tfMRI_MOTOR_LR,4,0.084172
102008,tfMRI_WM_RL,7,0.0680935
102008,tfMRI_WM_LR,7,0.107656
102008,tfMRI_EMOTION_RL,1,0.123369
102008,tfMRI_EMOTION_LR,1,0.138655
102008,tfMRI_GAMBLING_RL,2,0.0891415
102008,tfMRI_GAMBLING_LR,2,0.117242
102008,tfMRI_LANGUAGE_RL,3,0.13241
102008,tfMRI_LANGUAGE_LR,3,0.175874
102008,tfMRI_RELATIONAL_RL,5,0.115484
102008,tfMRI_RELATIONAL_LR,5,0.179278
102008,tfMRI_SOCIAL_RL,6,0.133573
102008,tfMRI_SOCIAL_LR,6,0.1701
102109,rfMRI_REST1_LR,0,0.0539459
102109,rfMRI_REST1_RL,0,0.0598229
102109,rfMRI_REST2_LR,0,0.0444403
102109,rfMRI_REST2_RL,0,0.0428279
102109,tfMRI_MOTOR_RL,4,0.051806
102109,tfMRI_MOTOR_LR,4,0.044437
102109,tfMRI_WM_RL,7,0.0480035
102109,tfMRI_WM_LR,7,0.0596805
102109,tfMRI_EMOTION_RL,1,0.0481596
102109,tfMRI_EMOTION_LR,1,0.0503857
102109,tfMRI_GAMBLING_RL,2,0.0506516
102109,tfMRI_GAMBLING_LR,2,0.0491045
102109,tfMRI_LANGUAGE_RL,3,0.0435592
102109,tfMRI_LANGUAGE_LR,3,0.0414245
102109,tfMRI_RELATIONAL_RL,5,0.0571503
102109,tfMRI_RELATIONAL_LR,5,0.0500369
102109,tfMRI_SOCIAL_RL,6,0.0413608
102109,tfMRI_SOCIAL_LR,6,0.0409099
102311,rfMRI_REST1_LR,0,0.0811486
102311,rfMRI_REST1_RL,0,0.077215
102311,rfMRI_REST2_LR,0,0.126213
102311,rfMRI_REST2_RL,0,0.115734
102311,tfMRI_MOTOR_RL,4,0.0786388
102311,tfMRI_MOTOR_LR,4,0.0735552
102311,tfMRI_WM_RL,7,0.0727022
102311,tfMRI_WM_LR,7,0.0624363
102311,tfMRI_EMOTION_RL,1,0.063533
102311,tfMRI_EMOTION_LR,1,0.065435
102311,tfMRI_GAMBLING_RL,2,0.0591011
102311,tfMRI_GAMBLING_LR,2,0.062394
102311,tfMRI_LANGUAGE_RL,3,0.071283
102311,tfMRI_LANGUAGE_LR,3,0.073011
102311,tfMRI_RELATIONAL_RL,5,0.069602
102311,tfMRI_RELATIONAL_LR,5,0.0772867
102311,tfMRI_SOCIAL_RL,6,0.0739128
102311,tfMRI_SOCIAL_LR,6,0.0670048
102513,rfMRI_REST1_LR,0,0.0564838
102513,rfMRI_REST1_RL,0,0.0616303
102513,rfMRI_REST2_LR,0,0.0600951
102513,rfMRI_REST2_RL,0,0.0594254
102513,tfMRI_MOTOR_RL,4,0.0551835
