Model,Param1 Name,Param1,N Features,N Training set,K,njobs,Runtime,Notes,Accuracy
SVC,C,1e-10,21,6850,3,1,00:07.8,Confounds,0.104495038
SVC,C,1e-10,21,6850,3,2,00:07.4,Confounds,0.104495038
SVC,C,1e-10,21,6850,3,3,00:06.3,Confounds,0.104495038
SVC,C,1e-10,21,6850,3,1,00:07.8,Confounds,0.11558669
SVC,C,1e-10,21,6850,3,2,00:07.4,Confounds,0.11558669
SVC,C,1e-10,21,6850,3,3,00:06.3,Confounds,0.11558669
SVC,C,1e-10,21,6850,3,3,00:04.8,Confounds,0.11558669
SVC,C,2.15e-07,21,6850,3,3,05:10.2,Confounds,0.113835377
SVC,C,2.15e-07,21,500,3,1,00:19.1,Confounds,0.144191477
SVC,C,2.15e-07,21,500,3,2,00:15.0,Confounds,0.144191477
SVC,C,2.15e-07,21,500,3,3,00:14.8,Confounds,0.144191477
SVC,C,2.15e-07,21,1000,3,1,00:58.5,Confounds,0.115002919
SVC,C,2.15e-07,21,1000,3,2,00:44.2,Confounds,0.115002919
SVC,C,2.15e-07,21,1000,3,3,00:38.0,Confounds,0.115002919
SVC,C,2.15e-07,21,2000,3,1,01:18.6,Confounds,0.119673088
SVC,C,2.15e-07,21,2000,3,2,01:01.6,Confounds,0.119673088
SVC,C,2.15e-07,21,2000,3,3,00:54.7,Confounds,0.119673088
SVC,C,2.1544346900318867e-07,21,4000,3,1,0 days 00:01:53.712153,Confounds,0.1138353765323993
SVC,C,2.1544346900318867e-07,21,4000,3,2,0 days 00:01:31.002550,Confounds,0.1138353765323993
SVC,C,2.1544346900318867e-07,21,4000,3,3,0 days 00:01:22.209003,Confounds,0.1138353765323993
SVC,C,2.1544346900318867e-07,21,500,4,1,0 days 00:00:26.990943,Confounds,0.14419147694103912
SVC,C,2.1544346900318867e-07,21,500,4,2,0 days 00:00:21.070987,Confounds,0.14419147694103912
SVC,C,2.1544346900318867e-07,21,500,4,3,0 days 00:00:16.026853,Confounds,0.14419147694103912
SVC,C,2.1544346900318867e-07,21,1000,4,1,0 days 00:01:17.641874,Confounds,0.11500291885580852
SVC,C,2.1544346900318867e-07,21,1000,4,2,0 days 00:00:54.704382,Confounds,0.11500291885580852
SVC,C,2.1544346900318867e-07,21,1000,4,3,0 days 00:00:44.048682,Confounds,0.11500291885580852
SVC,C,2.1544346900318867e-07,21,2000,4,1,0 days 00:01:52.671763,Confounds,0.11967308814944541
SVC,C,2.1544346900318867e-07,21,2000,4,2,0 days 00:01:17.002911,Confounds,0.11967308814944541
SVC,C,2.1544346900318867e-07,21,2000,4,3,0 days 00:01:13.944360,Confounds,0.11967308814944541
SVC,C,2.1544346900318867e-07,21,4000,4,1,0 days 00:02:34.697944,Confounds,0.1138353765323993
SVC,C,2.1544346900318867e-07,21,4000,4,2,0 days 00:01:49.285524,Confounds,0.1138353765323993
SVC,C,2.1544346900318867e-07,21,4000,4,3,0 days 00:01:40.604322,Confounds,0.1138353765323993
SVC,C,2.1544346900318867e-07,21,500,5,1,0 days 00:00:35.385381,Confounds,0.14419147694103912
SVC,C,2.1544346900318867e-07,21,500,5,2,0 days 00:00:25.422588,Confounds,0.14419147694103912
SVC,C,2.1544346900318867e-07,21,500,5,3,0 days 00:00:20.959618,Confounds,0.14419147694103912
SVC,C,2.1544346900318867e-07,21,1000,5,1,0 days 00:01:21.537767,Confounds,0.11500291885580852
SVC,C,2.1544346900318867e-07,21,1000,5,2,0 days 00:00:55.248930,Confounds,0.11500291885580852
SVC,C,2.1544346900318867e-07,21,1000,5,3,0 days 00:00:50.755152,Confounds,0.11500291885580852
SVC,C,2.1544346900318867e-07,21,2000,5,1,0 days 00:02:15.127223,Confounds,0.11967308814944541
SVC,C,2.1544346900318867e-07,21,2000,5,2,0 days 00:01:34.533325,Confounds,0.11967308814944541
SVC,C,2.1544346900318867e-07,21,2000,5,3,0 days 00:01:14.570113,Confounds,0.11967308814944541
SVC,C,2.1544346900318867e-07,21,4000,5,1,0 days 00:03:05.026746,Confounds,0.1138353765323993
