method,dataset
All,ucla
kPCA_rbf-25,ucla
kPCA_linear-25,ucla
TruncatedSVD_100,ucla
TruncatedSVD_150,ucla
TruncatedSVD_200,ucla
TruncatedSVD_300,ucla
TruncatedSVD_400,ucla
TruncatedSVD_500,ucla
TruncatedSVD_600,ucla
TruncatedSVD_700,ucla
TruncatedSVD_800,ucla
TruncatedSVD_900,ucla
TruncatedSVD_1000,ucla
LDA,ucla
PCA Full,ucla
PCA_513,ucla
PCA_2,ucla
PCA_3,ucla
PCA_4,ucla
PCA_5,ucla
PCA_6,ucla
PCA_7,ucla
PCA_8,ucla
PCA_9,ucla
PCA_10,ucla
PCA_1,ucla
PCA_12,ucla
PCA_13,ucla
PCA_14,ucla
PCA_15,ucla
PCA_16,ucla
PCA_17,ucla
PCA_18,ucla
PCA_19,ucla
PCA_20,ucla
PCA_21,ucla
PCA_22,ucla
PCA_23,ucla
PCA_24,ucla
PCA_26,ucla
PCA_27,ucla
PCA_29,ucla
PCA_30,ucla
PCA_31,ucla
PCA_32,ucla
PCA_34,ucla
PCA_35,ucla
PCA_36,ucla
PCA_38,ucla
PCA_39,ucla
PCA_1064,ucla
PCA_41,ucla
PCA_42,ucla
PCA_44,ucla
PCA_45,ucla
PCA_46,ucla
PCA_47,ucla
PCA_560,ucla
PCA_49,ucla
PCA_50,ucla
PCA_54,ucla
PCA_55,ucla
PCA_53,ucla
PCA_57,ucla
PCA_60,ucla
PCA_61,ucla
PCA_63,ucla
PCA_65,ucla
PCA_66,ucla
PCA_70,ucla
PCA_71,ucla
PCA_74,ucla
PCA_75,ucla
PCA_76,ucla
PCA_78,ucla
PCA_79,ucla
PCA_85,ucla
PCA_90,ucla
PCA_93,ucla
PCA_96,ucla
PCA_101,ucla
PCA_616,ucla
PCA_105,ucla
PCA_109,ucla
PCA_116,ucla
PCA_121,ucla
PCA_124,ucla
PCA_126,ucla
PCA_132,ucla
PCA_136,ucla
PCA_142,ucla
PCA_146,ucla
PCA_152,ucla
PCA_667,ucla
PCA_157,ucla
PCA_1184,ucla
PCA_162,ucla
PCA_167,ucla
PCA_172,ucla
PCA_181,ucla
PCA_191,ucla
PCA_709,ucla
PCA_201,ucla
PCA_214,ucla
PCA_229,ucla
PCA_242,ucla
PCA_251,ucla
PCA_780,ucla
PCA_271,ucla
PCA_282,ucla
PCA_294,ucla
PCA_1331,ucla
PCA_316,ucla
PCA_342,ucla
PCA_857,ucla
PCA_361,ucla
PCA_390,ucla
PCA_418,ucla
PCA_947,ucla
PCA_450,ucla
PCA_479,ucla
PCA_1522,ucla
Permutation-Importance_19900,ucla
Permutation-Importance_19877,ucla
Permutation-Importance_18386,ucla
Permutation-Importance_13745,ucla
Permutation-Importance_9857,ucla
Permutation-Importance_7402,ucla
Permutation-Importance_5773,ucla
Permutation-Importance_4586,ucla
Permutation-Importance_3754,ucla
Permutation-Importance_3125,ucla
Permutation-Importance_2656,ucla
Permutation-Importance_2271,ucla
Permutation-Importance_1958,ucla
Permutation-Importance_1727,ucla
Permutation-Importance_1522,ucla
Permutation-Importance_1331,ucla
Permutation-Importance_1184,ucla
Permutation-Importance_1064,ucla
Permutation-Importance_947,ucla
Permutation-Importance_857,ucla
Permutation-Importance_780,ucla
Permutation-Importance_709,ucla
Permutation-Importance_667,ucla
Permutation-Importance_616,ucla
Permutation-Importance_560,ucla
Permutation-Importance_513,ucla
